patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate,rank
15.8,222,Jinx,8,6,75.0,40.0,5.0,8
15.8,157,Yasuo,6,3,50.0,30.0,20.0,8
15.8,800,Mel,5,3,60.0,25.0,35.0,14
15.8,267,Nami,5,4,80.0,25.0,0.0,5
15.8,17,Teemo,5,2,40.0,25.0,15.0,6
15.8,22,Ashe,4,1,25.0,20.0,0.0,5
15.8,51,Caitlyn,4,1,25.0,20.0,40.0,14
15.8,89,Leona,4,2,50.0,20.0,10.0,5
15.8,56,Nocturne,4,2,50.0,20.0,10.0,5
15.8,58,Renekton,4,3,75.0,20.0,0.0,5
15.8,875,Sett,4,2,50.0,20.0,15.0,5
15.8,35,Shaco,4,1,25.0,20.0,25.0,8
15.8,19,Warwick,4,2,50.0,20.0,0.0,5
15.8,103,Ahri,3,2,66.67,15.0,20.0,8
15.8,55,Katarina,3,2,66.67,15.0,5.0,5
15.8,876,Lillia,3,1,33.33,15.0,0.0,5
15.8,99,Lux,3,1,33.33,15.0,5.0,5
15.8,25,Morgana,3,1,33.33,15.0,10.0,5
15.8,235,Senna,3,2,66.67,15.0,0.0,5
15.8,98,Shen,3,1,33.33,15.0,5.0,5
15.8,223,TahmKench,3,0,0.0,15.0,5.0,79
15.8,498,Xayah,3,1,33.33,15.0,5.0,5
15.8,777,Yone,3,1,33.33,15.0,10.0,5
15.8,12,Alistar,2,1,50.0,10.0,0.0,5
15.8,32,Amumu,2,2,100.0,10.0,5.0,1
15.8,34,Anivia,2,2,100.0,10.0,0.0,5
15.8,523,Aphelios,2,1,50.0,10.0,5.0,5
15.8,53,Blitzcrank,2,1,50.0,10.0,30.0,16
15.8,63,Brand,2,2,100.0,10.0,5.0,1
15.8,31,Chogath,2,1,50.0,10.0,10.0,1
15.8,81,Ezreal,2,0,0.0,10.0,0.0,10
15.8,9,FiddleSticks,2,1,50.0,10.0,10.0,1
15.8,3,Galio,2,0,0.0,10.0,0.0,10
15.8,86,Garen,2,1,50.0,10.0,0.0,5
15.8,24,Jax,2,0,0.0,10.0,0.0,10
15.8,202,Jhin,2,1,50.0,10.0,5.0,5
15.8,236,Lucian,2,2,100.0,10.0,5.0,1
15.8,21,MissFortune,2,2,100.0,10.0,5.0,1
15.8,497,Rakan,2,0,0.0,10.0,10.0,37
15.8,33,Rammus,2,1,50.0,10.0,25.0,15
15.8,360,Samira,2,1,50.0,10.0,0.0,5
15.8,901,Smolder,2,0,0.0,10.0,0.0,10
15.8,91,Talon,2,0,0.0,10.0,0.0,10
15.8,4,TwistedFate,2,1,50.0,10.0,0.0,5
15.8,110,Varus,2,1,50.0,10.0,5.0,5
15.8,67,Vayne,2,0,0.0,10.0,0.0,10
15.8,112,Viktor,2,1,50.0,10.0,5.0,5
15.8,101,Xerath,2,1,50.0,10.0,10.0,1
15.8,266,Aatrox,1,1,100.0,5.0,5.0,11
15.8,84,Akali,1,1,100.0,5.0,5.0,11
15.8,166,Akshan,1,1,100.0,5.0,0.0,1
15.8,799,Ambessa,1,1,100.0,5.0,0.0,1
15.8,268,Azir,1,0,0.0,5.0,0.0,10
15.8,432,Bard,1,1,100.0,5.0,0.0,1
15.8,233,Briar,1,0,0.0,5.0,10.0,48
15.8,122,Darius,1,0,0.0,5.0,40.0,18
15.8,36,DrMundo,1,1,100.0,5.0,5.0,11
15.8,119,Draven,1,1,100.0,5.0,15.0,1
15.8,114,Fiora,1,1,100.0,5.0,0.0,1
15.8,887,Gwen,1,0,0.0,5.0,10.0,48
15.8,120,Hecarim,1,1,100.0,5.0,5.0,11
15.8,910,Hwei,1,1,100.0,5.0,5.0,11
15.8,40,Janna,1,1,100.0,5.0,0.0,1
15.8,126,Jayce,1,0,0.0,5.0,0.0,10
15.8,10,Kayle,1,0,0.0,5.0,5.0,11
15.8,141,Kayn,1,1,100.0,5.0,15.0,1
15.8,203,Kindred,1,1,100.0,5.0,0.0,1
15.8,7,Leblanc,1,0,0.0,5.0,5.0,11
15.8,64,LeeSin,1,1,100.0,5.0,0.0,1
15.8,117,Lulu,1,0,0.0,5.0,10.0,48
15.8,54,Malphite,1,1,100.0,5.0,5.0,11
15.8,90,Malzahar,1,1,100.0,5.0,15.0,1
15.8,11,MasterYi,1,0,0.0,5.0,20.0,29
15.8,902,Milio,1,1,100.0,5.0,0.0,1
15.8,82,Mordekaiser,1,1,100.0,5.0,5.0,11
15.8,950,Naafiri,1,1,100.0,5.0,60.0,26
15.8,518,Neeko,1,1,100.0,5.0,0.0,1
15.8,895,Nilah,1,1,100.0,5.0,15.0,1
15.8,20,Nunu,1,0,0.0,5.0,10.0,48
15.8,61,Orianna,1,1,100.0,5.0,0.0,1
15.8,80,Pantheon,1,1,100.0,5.0,20.0,1
15.8,78,Poppy,1,1,100.0,5.0,5.0,11
15.8,246,Qiyana,1,0,0.0,5.0,0.0,10
