patch,champion,win_rate,pick_rate,ban_rate,rank
15.14,Xin Zhao,50.55,5.52,2.57,1
15.14,Sona,52.37,2.75,0.26,2
15.14,Irelia,50.75,4.21,13.22,3
15.14,Viego,50.22,11.26,7.86,4
15.14,Rell,50.67,3.78,1.63,5
15.14,Olaf,50.15,1.48,0.98,6
15.14,Jarvan IV,51.46,6.11,2.08,7
15.14,Lulu,51.05,9.6,12.01,8
15.14,Nilah,53.73,1.96,3.22,9
15.14,Pantheon,50.21,7.25,10.39,10
15.14,Jinx,51.6,14.31,4.63,11
15.14,Nami,52.12,8.79,2.05,12
15.14,Janna,51.62,2.63,0.46,13
15.14,Kennen,50.25,1.83,1.23,14
15.14,Ekko,50.39,4.58,2.65,15
15.14,Twitch,51.45,4.19,5.09,16
15.14,Fiora,50.04,3.91,4.82,17
15.14,Bard,50.28,3.14,0.74,18
15.14,Vladimir,50.69,3.46,6.81,19
15.14,Poppy,50.59,2.26,2.65,20
15.14,Aphelios,50.31,5.56,2.1,21
15.14,Milio,52.64,6.39,3.45,22
15.14,Soraka,51.75,4.3,2.01,23
15.14,Vayne,52.17,7.31,5.69,24
15.14,Volibear,52.66,5.7,5.9,25
15.14,Galio,51.14,4.81,3.28,26
15.14,Quinn,51.5,2.41,2.53,27
15.14,Zyra,51.32,3.89,4.22,28
15.14,Briar,53.04,4.93,7.58,29
15.14,Smolder,51.34,6.67,3.07,30
15.14,Mordekaiser,52.26,8.3,13.72,31
15.14,Ziggs,52.34,1.86,0.87,32
15.14,Bel'Veth,49.88,1.98,2.15,33
15.14,Sion,50.54,4.27,1.3,34
15.14,Amumu,51.48,4.17,2.97,35
15.14,Urgot,51.77,3.06,1.66,36
15.14,Braum,51.2,5.88,5.8,37
15.14,Zeri,50.44,3.0,0.51,38
15.14,Trundle,53.18,8.45,11.0,39
15.14,Kog'Maw,53.37,1.96,1.08,40
15.14,Thresh,50.07,9.98,3.9,41
15.14,Alistar,49.85,4.46,1.88,42
15.14,Warwick,52.6,7.39,14.14,43
15.14,Singed,51.3,1.76,0.49,44
15.14,Anivia,51.2,1.58,1.29,45
15.14,Nocturne,51.49,8.18,15.97,46
15.14,Heimerdinger,50.92,1.82,4.46,47
15.14,Fiddlesticks,50.59,2.38,1.37,48
15.14,Kayle,51.63,3.73,2.59,49
15.14,Lux,50.18,11.66,14.84,50
15.14,Vex,51.04,3.78,4.49,51
15.14,Ashe,50.69,7.92,2.79,52
15.14,Renekton,50.1,5.67,3.64,53
15.14,Sivir,52.24,8.45,8.6,54
15.14,Diana,50.61,5.58,7.06,55
15.14,Ornn,51.28,3.22,0.51,56
15.14,Teemo,51.63,5.68,15.51,57
15.14,Rammus,52.17,2.11,4.6,58
15.14,Taric,52.62,1.1,0.21,59
15.14,Jhin,50.27,14.68,3.74,60
15.14,Miss Fortune,51.12,11.31,4.49,61
15.14,Shen,50.56,3.62,1.47,62
15.14,Ivern,50.29,0.96,0.39,63
15.14,Zilean,51.18,1.99,0.66,64
15.14,Kha'Zix,50.1,5.62,3.48,65
15.14,Master Yi,51.37,8.07,13.15,66
15.14,Vel'Koz,51.38,2.83,1.35,67
15.14,Syndra,50.25,4.02,2.68,68
15.14,Samira,50.63,5.18,9.36,69
15.14,Sett,52.16,8.86,6.86,70
15.14,Naafiri,49.65,2.7,6.55,71
15.14,Nunu & Willump,49.77,2.33,0.57,72
