patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate
15.13,131,Diana,10,5,50.0,12.346,8.642
15.13,202,Jhin,10,4,40.0,12.346,8.642
15.13,222,Jinx,10,6,60.0,12.346,7.407
15.13,141,Kayn,10,6,60.0,12.346,9.877
15.13,64,LeeSin,10,3,30.0,12.346,2.469
15.13,99,Lux,10,7,70.0,12.346,18.519
15.13,800,Mel,10,4,40.0,12.346,44.444
15.13,21,MissFortune,10,7,70.0,12.346,8.642
15.13,82,Mordekaiser,10,3,30.0,12.346,9.877
15.13,25,Morgana,10,2,20.0,12.346,24.691
15.13,56,Nocturne,10,4,40.0,12.346,7.407
15.13,875,Sett,10,6,60.0,12.346,7.407
15.13,15,Sivir,10,5,50.0,12.346,8.642
15.13,18,Tristana,10,6,60.0,12.346,7.407
15.13,22,Ashe,9,5,55.56,11.111,6.173
15.13,245,Ekko,9,4,44.44,11.111,7.407
15.13,10,Kayle,9,3,33.33,11.111,3.704
15.13,90,Malzahar,9,8,88.89,11.111,23.457
15.13,11,MasterYi,9,6,66.67,11.111,16.049
15.13,111,Nautilus,9,3,33.33,11.111,18.519
15.13,80,Pantheon,9,3,33.33,11.111,6.173
15.13,235,Senna,9,5,55.56,11.111,1.235
15.13,517,Sylas,9,1,11.11,11.111,8.642
15.13,412,Thresh,9,6,66.67,11.111,3.704
15.13,48,Trundle,9,6,66.67,11.111,3.704
15.13,106,Volibear,9,6,66.67,11.111,8.642
15.13,777,Yone,9,5,55.56,11.111,6.173
15.13,103,Ahri,8,2,25.0,9.877,3.704
15.13,84,Akali,8,4,50.0,9.877,9.877
15.13,51,Caitlyn,8,4,50.0,9.877,20.988
15.13,236,Lucian,8,4,50.0,9.877,17.284
15.13,234,Viego,8,3,37.5,9.877,4.938
15.13,238,Zed,8,5,62.5,9.877,17.284
15.13,268,Azir,7,4,57.14,8.642,1.235
15.13,86,Garen,7,3,42.86,8.642,1.235
15.13,74,Heimerdinger,7,4,57.14,8.642,1.235
15.13,910,Hwei,7,4,57.14,8.642,2.469
15.13,24,Jax,7,5,71.43,8.642,3.704
15.13,145,Kaisa,7,3,42.86,8.642,3.704
15.13,54,Malphite,7,5,71.43,8.642,11.111
15.13,267,Nami,7,4,57.14,8.642,0.0
15.13,518,Neeko,7,3,42.86,8.642,2.469
15.13,555,Pyke,7,1,14.29,8.642,14.815
15.13,147,Seraphine,7,2,28.57,8.642,0.0
15.13,166,Akshan,6,3,50.0,7.407,3.704
15.13,893,Aurora,6,4,66.67,7.407,7.407
15.13,53,Blitzcrank,6,2,33.33,7.407,18.519
15.13,31,Chogath,6,4,66.67,7.407,1.235
15.13,122,Darius,6,4,66.67,7.407,18.519
