patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate,cluster,tier
15.15,36,DrMundo,10,3,30.0,20.408,12.245,4,B
15.15,222,Jinx,10,5,50.0,20.408,8.163,4,B
15.15,35,Shaco,10,6,60.0,20.408,28.571,4,B
15.15,101,Xerath,10,6,60.0,20.408,6.122,4,B
15.15,804,Yunara,10,4,40.0,20.408,36.735,4,B
15.15,103,Ahri,9,3,33.33,18.367,2.041,4,B
15.15,202,Jhin,9,6,66.67,18.367,8.163,4,B
15.15,145,Kaisa,9,5,55.56,18.367,2.041,4,B
15.15,234,Viego,9,3,33.33,18.367,10.204,4,B
15.15,84,Akali,8,3,37.5,16.327,4.082,4,B
15.15,59,JarvanIV,8,6,75.0,16.327,12.245,4,B
15.15,99,Lux,8,4,50.0,16.327,14.286,4,B
15.15,54,Malphite,8,5,62.5,16.327,10.204,4,B
15.15,901,Smolder,7,3,42.86,14.286,6.122,4,B
15.15,6,Urgot,7,2,28.57,14.286,2.041,4,B
15.15,67,Vayne,7,5,71.43,14.286,4.082,4,B
15.15,51,Caitlyn,6,3,50.0,12.245,18.367,4,B
15.15,131,Diana,6,3,50.0,12.245,2.041,4,B
15.15,141,Kayn,6,2,33.33,12.245,14.286,4,B
15.15,117,Lulu,6,1,16.67,12.245,20.408,4,B
15.15,13,Ryze,6,2,33.33,12.245,2.041,4,B
15.15,235,Senna,6,3,50.0,12.245,2.041,4,B
15.15,134,Syndra,6,2,33.33,12.245,6.122,4,B
15.15,29,Twitch,6,3,50.0,12.245,10.204,4,B
15.15,266,Aatrox,5,4,80.0,10.204,20.408,4,B
15.15,245,Ekko,5,2,40.0,10.204,8.163,4,B
15.15,114,Fiora,5,2,40.0,10.204,2.041,4,B
15.15,121,Khazix,5,3,60.0,10.204,0.0,1,C
15.15,25,Morgana,5,2,40.0,10.204,8.163,4,B
15.15,80,Pantheon,5,2,40.0,10.204,4.082,4,B
15.15,37,Sona,5,3,60.0,10.204,0.0,1,C
15.15,50,Swain,5,3,60.0,10.204,2.041,4,B
15.15,412,Thresh,5,5,100.0,10.204,0.0,2,S
15.15,8,Vladimir,5,2,40.0,10.204,4.082,4,B
15.15,106,Volibear,5,3,60.0,10.204,16.327,4,B
15.15,238,Zed,5,3,60.0,10.204,16.327,4,B
15.15,31,Chogath,4,2,50.0,8.163,0.0,1,C
15.15,60,Elise,4,2,50.0,8.163,4.082,4,B
15.15,81,Ezreal,4,0,0.0,8.163,0.0,1,C
15.15,3,Galio,4,2,50.0,8.163,12.245,4,B
15.15,86,Garen,4,2,50.0,8.163,2.041,4,B
15.15,420,Illaoi,4,0,0.0,8.163,2.041,0,D
15.15,39,Irelia,4,2,50.0,8.163,8.163,4,B
15.15,21,MissFortune,4,3,75.0,8.163,0.0,1,C
15.15,555,Pyke,4,2,50.0,8.163,30.612,4,B
15.15,133,Quinn,4,2,50.0,8.163,2.041,4,B
15.15,15,Sivir,4,2,50.0,8.163,12.245,4,B
15.15,16,Soraka,4,1,25.0,8.163,10.204,4,B
15.15,517,Sylas,4,2,50.0,8.163,12.245,4,B
15.15,18,Tristana,4,1,25.0,8.163,2.041,4,B
15.15,254,Vi,4,2,50.0,8.163,4.082,4,B
15.15,143,Zyra,4,2,50.0,8.163,6.122,4,B
15.15,12,Alistar,3,1,33.33,6.122,0.0,1,C
15.15,201,Braum,3,3,100.0,6.122,8.163,3,A
15.15,236,Lucian,3,2,66.67,6.122,10.204,0,D
15.15,800,Mel,3,3,100.0,6.122,30.612,3,A
15.15,902,Milio,3,1,33.33,6.122,8.163,0,D
