patch,champion,win_rate,pick_rate,ban_rate,rank
15.24,Miss Fortune,52.37,24.0,16.91,1
15.24,Nami,52.06,8.13,1.59,2
15.24,Sylas,50.47,9.96,20.23,3
15.24,Olaf,51.77,1.63,0.95,4
15.24,Jinx,50.75,13.39,3.42,5
15.24,Rek'Sai,51.07,0.93,0.4,6
15.24,Karma,50.91,5.96,2.74,7
15.24,Kled,52.43,1.24,0.61,8
15.24,Kayle,51.23,3.8,2.41,9
15.24,Ashe,50.27,12.77,8.4,10
15.24,Viego,50.53,11.42,8.66,11
15.24,Singed,52.56,2.17,0.8,12
15.24,Elise,51.6,1.51,1.18,13
15.24,Naafiri,52.79,2.46,5.1,14
15.24,Kog'Maw,52.5,1.23,0.48,15
15.24,Ahri,51.09,9.02,2.85,16
15.24,Taric,52.83,1.15,0.22,17
15.24,Kennen,50.99,1.88,1.12,18
15.24,Diana,50.51,5.99,7.31,19
15.24,Syndra,50.48,5.5,3.42,20
15.24,Smolder,51.39,9.33,4.29,21
15.24,Sion,50.87,3.95,1.42,22
15.24,Anivia,51.34,2.31,1.34,23
15.24,Jhin,50.51,16.45,3.57,24
15.24,Ekko,50.27,3.85,1.94,25
15.24,Bard,50.4,3.77,1.39,26
15.24,Tristana,50.39,7.51,3.57,27
15.24,Dr. Mundo,51.92,5.66,13.39,28
15.24,Sona,51.51,2.38,0.29,29
15.24,Amumu,52.29,3.92,3.09,30
15.24,Janna,51.35,2.34,0.42,31
15.24,Vayne,51.62,7.6,6.19,32
15.24,Akshan,50.37,2.17,1.94,33
15.24,Irelia,50.02,3.74,9.52,34
15.24,Talon,50.05,2.4,1.83,35
15.24,Milio,52.21,6.17,5.17,36
15.24,Thresh,50.24,9.34,3.37,37
15.24,Sett,52.22,7.46,3.96,38
15.24,Lillia,51.33,3.78,2.45,39
15.24,Urgot,52.2,2.59,1.47,40
15.24,Warwick,51.95,5.64,7.62,41
15.24,Ziggs,51.75,2.31,1.42,42
15.24,Yasuo,50.2,9.77,18.17,43
15.24,Ivern,51.23,0.81,0.37,44
15.24,Nilah,51.78,1.38,2.25,45
15.24,Sivir,50.24,4.69,2.43,46
15.24,Poppy,50.9,2.37,2.9,47
15.24,Kassadin,51.71,2.01,1.25,48
15.24,Zyra,52.78,4.18,4.37,49
15.24,Nunu & Willump,50.11,1.98,0.49,50
15.24,Aphelios,49.48,5.28,2.0,51
15.24,Vladimir,50.47,2.76,5.37,52
15.24,Teemo,51.84,5.38,15.44,53
15.24,Swain,51.82,4.6,2.95,54
15.24,Veigar,51.38,5.66,2.43,55
15.24,Riven,49.67,3.13,1.19,56
15.24,Briar,53.84,4.87,9.54,57
15.24,Yunara,46.95,6.58,4.0,58
15.24,Xayah,49.71,3.96,0.62,59
15.24,Vex,50.96,3.56,3.92,60
15.24,Soraka,51.83,4.26,2.04,61
15.24,Lee Sin,49.24,9.41,9.61,62
15.24,Yorick,51.91,4.42,9.73,63
15.24,Samira,51.11,4.71,8.77,64
15.24,Malphite,53.23,8.55,22.7,65
15.24,Brand,52.63,4.66,4.67,66
15.24,Bel'Veth,49.7,1.46,2.03,67
15.24,Morgana,51.14,8.15,25.37,68
15.24,Graves,49.72,4.9,2.48,69
15.24,Lucian,49.16,7.3,2.39,70
15.24,Wukong,50.48,2.62,0.86,71
15.24,Vel'Koz,51.63,3.23,1.69,72
15.24,Twitch,49.52,3.63,4.68,73
15.24,Leona,50.76,8.45,8.8,74
15.24,Fiora,49.65,3.5,3.36,75
15.24,Ezreal,48.7,12.16,3.14,76
15.24,Katarina,49.81,6.74,7.87,77
15.24,Heimerdinger,52.6,1.64,4.39,78
15.24,Draven,48.25,3.36,11.19,79
15.24,Kayn,50.23,7.91,5.76,80
15.24,Jarvan IV,49.65,4.48,1.47,81
15.24,Xerath,50.67,4.05,8.36,82
15.24,Kai'Sa,48.51,17.08,3.05,83
15.24,Trundle,51.18,2.35,1.26,84
15.24,Qiyana,46.48,2.87,3.59,85
15.24,Zilean,50.37,2.03,0.73,86
15.24,Corki,46.87,1.03,0.28,87
