patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate
15.15,99,Lux,10,1,10.0,21.739,17.391
15.15,131,Diana,9,2,22.22,19.565,10.87
15.15,22,Ashe,8,4,50.0,17.391,13.043
15.15,21,MissFortune,8,2,25.0,17.391,6.522
15.15,80,Pantheon,8,6,75.0,17.391,4.348
15.15,875,Sett,8,5,62.5,17.391,2.174
15.15,804,Yunara,8,6,75.0,17.391,28.261
15.15,141,Kayn,7,5,71.43,15.217,10.87
15.15,54,Malphite,7,5,71.43,15.217,6.522
15.15,234,Viego,7,3,42.86,15.217,19.565
15.15,106,Volibear,7,6,85.71,15.217,21.739
15.15,51,Caitlyn,6,4,66.67,13.043,19.565
15.15,81,Ezreal,6,4,66.67,13.043,2.174
15.15,202,Jhin,6,5,83.33,13.043,6.522
15.15,236,Lucian,6,2,33.33,13.043,0.0
15.15,11,MasterYi,6,3,50.0,13.043,8.696
15.15,800,Mel,6,1,16.67,13.043,34.783
15.15,267,Nami,6,5,83.33,13.043,4.348
15.15,27,Singed,6,2,33.33,13.043,2.174
15.15,901,Smolder,6,3,50.0,13.043,4.348
15.15,18,Tristana,6,1,16.67,13.043,4.348
15.15,711,Vex,6,4,66.67,13.043,10.87
15.15,101,Xerath,6,3,50.0,13.043,4.348
15.15,157,Yasuo,6,3,50.0,13.043,13.043
15.15,245,Ekko,5,3,60.0,10.87,2.174
15.15,145,Kaisa,5,2,40.0,10.87,0.0
15.15,902,Milio,5,3,60.0,10.87,4.348
15.15,82,Mordekaiser,5,2,40.0,10.87,26.087
15.15,92,Riven,5,3,60.0,10.87,2.174
15.15,50,Swain,5,2,40.0,10.87,2.174
15.15,19,Warwick,5,3,60.0,10.87,32.609
15.15,777,Yone,5,3,60.0,10.87,4.348
15.15,103,Ahri,4,4,100.0,8.696,4.348
15.15,84,Akali,4,1,25.0,8.696,8.696
15.15,523,Aphelios,4,3,75.0,8.696,4.348
15.15,432,Bard,4,2,50.0,8.696,0.0
15.15,63,Brand,4,3,75.0,8.696,4.348
15.15,36,DrMundo,4,1,25.0,8.696,21.739
15.15,3,Galio,4,1,25.0,8.696,4.348
15.15,222,Jinx,4,1,25.0,8.696,4.348
15.15,89,Leona,4,1,25.0,8.696,17.391
15.15,117,Lulu,4,2,50.0,8.696,8.696
15.15,56,Nocturne,4,0,0.0,8.696,23.913
15.15,78,Poppy,4,3,75.0,8.696,4.348
15.15,555,Pyke,4,4,100.0,8.696,10.87
15.15,526,Rell,4,0,0.0,8.696,0.0
15.15,58,Renekton,4,4,100.0,8.696,2.174
15.15,98,Shen,4,2,50.0,8.696,0.0
15.15,37,Sona,4,2,50.0,8.696,0.0
15.15,517,Sylas,4,4,100.0,8.696,6.522
15.15,412,Thresh,4,2,50.0,8.696,2.174
15.15,254,Vi,4,1,25.0,8.696,0.0
15.15,238,Zed,4,1,25.0,8.696,10.87
15.15,12,Alistar,3,1,33.33,6.522,0.0
15.15,233,Briar,3,2,66.67,6.522,15.217
15.15,31,Chogath,3,2,66.67,6.522,4.348
15.15,122,Darius,3,0,0.0,6.522,8.696
15.15,104,Graves,3,3,100.0,6.522,0.0
15.15,24,Jax,3,0,0.0,6.522,6.522
15.15,38,Kassadin,3,0,0.0,6.522,0.0
15.15,55,Katarina,3,1,33.33,6.522,2.174
15.15,240,Kled,3,2,66.67,6.522,0.0
15.15,90,Malzahar,3,1,33.33,6.522,34.783
15.15,62,MonkeyKing,3,2,66.67,6.522,2.174
15.15,75,Nasus,3,2,66.67,6.522,6.522
15.15,111,Nautilus,3,3,100.0,6.522,10.87
15.15,895,Nilah,3,2,66.67,6.522,0.0
15.15,35,Shaco,3,0,0.0,6.522,41.304
15.15,102,Shyvana,3,1,33.33,6.522,0.0
15.15,15,Sivir,3,1,33.33,6.522,4.348
15.15,16,Soraka,3,1,33.33,6.522,10.87
15.15,134,Syndra,3,3,100.0,6.522,2.174
15.15,17,Teemo,3,1,33.33,6.522,15.217
15.15,4,TwistedFate,3,2,66.67,6.522,0.0
15.15,29,Twitch,3,1,33.33,6.522,6.522
15.15,110,Varus,3,3,100.0,6.522,0.0
15.15,67,Vayne,3,1,33.33,6.522,2.174
15.15,45,Veigar,3,1,33.33,6.522,2.174
15.15,142,Zoe,3,0,0.0,6.522,2.174
15.15,143,Zyra,3,1,33.33,6.522,2.174
15.15,32,Amumu,2,2,100.0,4.348,19.565
15.15,34,Anivia,2,1,50.0,4.348,0.0
15.15,1,Annie,2,1,50.0,4.348,0.0
15.15,136,AurelionSol,2,2,100.0,4.348,0.0
15.15,893,Aurora,2,1,50.0,4.348,6.522
15.15,119,Draven,2,0,0.0,4.348,10.87
15.15,86,Garen,2,0,0.0,4.348,4.348
15.15,887,Gwen,2,1,50.0,4.348,8.696
15.15,74,Heimerdinger,2,0,0.0,4.348,2.174
15.15,39,Irelia,2,1,50.0,4.348,6.522
15.15,40,Janna,2,2,100.0,4.348,0.0
15.15,43,Karma,2,1,50.0,4.348,0.0
15.15,10,Kayle,2,1,50.0,4.348,6.522
15.15,85,Kennen,2,2,100.0,4.348,2.174
15.15,876,Lillia,2,1,50.0,4.348,4.348
15.15,25,Morgana,2,1,50.0,4.348,21.739
15.15,516,Ornn,2,1,50.0,4.348,0.0
15.15,360,Samira,2,1,50.0,4.348,6.522
15.15,113,Sejuani,2,1,50.0,4.348,0.0
15.15,147,Seraphine,2,0,0.0,4.348,0.0
15.15,163,Taliyah,2,0,0.0,4.348,0.0
15.15,48,Trundle,2,1,50.0,4.348,17.391
15.15,77,Udyr,2,1,50.0,4.348,6.522
15.15,83,Yorick,2,1,50.0,4.348,21.739
15.15,266,Aatrox,1,0,0.0,2.174,8.696
15.15,166,Akshan,1,0,0.0,2.174,13.043
15.15,268,Azir,1,1,100.0,2.174,0.0
15.15,53,Blitzcrank,1,1,100.0,2.174,19.565
15.15,201,Braum,1,1,100.0,2.174,2.174
15.15,28,Evelynn,1,0,0.0,2.174,4.348
15.15,114,Fiora,1,0,0.0,2.174,6.522
15.15,41,Gangplank,1,0,0.0,2.174,4.348
15.15,150,Gnar,1,0,0.0,2.174,0.0
15.15,120,Hecarim,1,1,100.0,2.174,4.348
15.15,420,Illaoi,1,1,100.0,2.174,13.043
