patch,championId,championName,games,wins,win_rate,pick_rate
15.19,222,Jinx,10,7,70.0,19.231
15.19,145,Kaisa,10,6,60.0,19.231
15.19,517,Sylas,10,2,20.0,19.231
15.19,412,Thresh,10,5,50.0,19.231
15.19,51,Caitlyn,9,4,44.44,17.308
15.19,122,Darius,9,5,55.56,17.308
15.19,202,Jhin,9,5,55.56,17.308
15.19,800,Mel,9,5,55.56,17.308
15.19,21,MissFortune,9,3,33.33,17.308
15.19,267,Nami,9,4,44.44,17.308
15.19,99,Lux,8,6,75.0,15.385
15.19,141,Kayn,7,3,42.86,13.462
15.19,235,Senna,7,1,14.29,13.462
15.19,50,Swain,7,3,42.86,13.462
15.19,36,DrMundo,6,4,66.67,11.538
15.19,55,Katarina,6,2,33.33,11.538
15.19,950,Naafiri,6,5,83.33,11.538
15.19,80,Pantheon,6,1,16.67,11.538
15.19,133,Quinn,6,1,16.67,11.538
15.19,17,Teemo,6,2,33.33,11.538
15.19,106,Volibear,6,4,66.67,11.538
15.19,19,Warwick,6,4,66.67,11.538
15.19,5,XinZhao,6,4,66.67,11.538
15.19,157,Yasuo,6,2,33.33,11.538
15.19,777,Yone,6,3,50.0,11.538
15.19,233,Briar,5,2,40.0,9.615
15.19,131,Diana,5,2,40.0,9.615
15.19,81,Ezreal,5,4,80.0,9.615
15.19,74,Heimerdinger,5,3,60.0,9.615
15.19,876,Lillia,5,2,40.0,9.615
15.19,236,Lucian,5,1,20.0,9.615
15.19,25,Morgana,5,2,40.0,9.615
15.19,901,Smolder,5,4,80.0,9.615
15.19,234,Viego,5,3,60.0,9.615
15.19,143,Zyra,5,3,60.0,9.615
15.19,266,Aatrox,4,3,75.0,7.692
15.19,84,Akali,4,3,75.0,7.692
15.19,22,Ashe,4,3,75.0,7.692
15.19,63,Brand,4,3,75.0,7.692
15.19,86,Garen,4,1,25.0,7.692
15.19,39,Irelia,4,2,50.0,7.692
15.19,427,Ivern,4,3,75.0,7.692
15.19,203,Kindred,4,1,25.0,7.692
15.19,64,LeeSin,4,1,25.0,7.692
15.19,89,Leona,4,2,50.0,7.692
15.19,117,Lulu,4,3,75.0,7.692
15.19,54,Malphite,4,2,50.0,7.692
15.19,11,MasterYi,4,2,50.0,7.692
15.19,111,Nautilus,4,2,50.0,7.692
15.19,555,Pyke,4,2,50.0,7.692
15.19,58,Renekton,4,2,50.0,7.692
15.19,107,Rengar,4,4,100.0,7.692
15.19,147,Seraphine,4,2,50.0,7.692
15.19,875,Sett,4,4,100.0,7.692
15.19,98,Shen,4,4,100.0,7.692
15.19,15,Sivir,4,3,75.0,7.692
15.19,48,Trundle,4,1,25.0,7.692
15.19,23,Tryndamere,4,1,25.0,7.692
15.19,29,Twitch,4,0,0.0,7.692
15.19,67,Vayne,4,2,50.0,7.692
15.19,45,Veigar,4,1,25.0,7.692
15.19,161,Velkoz,4,2,50.0,7.692
15.19,8,Vladimir,4,1,25.0,7.692
15.19,498,Xayah,4,0,0.0,7.692
15.19,32,Amumu,3,0,0.0,5.769
15.19,136,AurelionSol,3,3,100.0,5.769
15.19,245,Ekko,3,2,66.67,5.769
15.19,3,Galio,3,2,66.67,5.769
15.19,79,Gragas,3,1,33.33,5.769
15.19,59,JarvanIV,3,0,0.0,5.769
15.19,24,Jax,3,2,66.67,5.769
15.19,10,Kayle,3,2,66.67,5.769
15.19,7,Leblanc,3,1,33.33,5.769
15.19,90,Malzahar,3,3,100.0,5.769
15.19,82,Mordekaiser,3,0,0.0,5.769
15.19,78,Poppy,3,1,33.33,5.769
15.19,92,Riven,3,1,33.33,5.769
15.19,360,Samira,3,1,33.33,5.769
15.19,14,Sion,3,1,33.33,5.769
15.19,16,Soraka,3,2,66.67,5.769
15.19,223,TahmKench,3,0,0.0,5.769
15.19,163,Taliyah,3,2,66.67,5.769
15.19,110,Varus,3,1,33.33,5.769
15.19,83,Yorick,3,3,100.0,5.769
15.19,154,Zac,3,3,100.0,5.769
15.19,238,Zed,3,1,33.33,5.769
15.19,221,Zeri,3,0,0.0,5.769
15.19,142,Zoe,3,1,33.33,5.769
15.19,103,Ahri,2,1,50.0,3.846
15.19,523,Aphelios,2,2,100.0,3.846
15.19,53,Blitzcrank,2,1,50.0,3.846
15.19,164,Camille,2,0,0.0,3.846
15.19,69,Cassiopeia,2,2,100.0,3.846
15.19,31,Chogath,2,1,50.0,3.846
15.19,119,Draven,2,1,50.0,3.846
15.19,104,Graves,2,1,50.0,3.846
15.19,887,Gwen,2,0,0.0,3.846
15.19,120,Hecarim,2,2,100.0,3.846
15.19,910,Hwei,2,1,50.0,3.846
15.19,420,Illaoi,2,1,50.0,3.846
15.19,126,Jayce,2,1,50.0,3.846
15.19,429,Kalista,2,0,0.0,3.846
15.19,43,Karma,2,1,50.0,3.846
15.19,38,Kassadin,2,1,50.0,3.846
15.19,121,Khazix,2,1,50.0,3.846
15.19,240,Kled,2,2,100.0,3.846
15.19,57,Maokai,2,1,50.0,3.846
15.19,902,Milio,2,1,50.0,3.846
15.19,20,Nunu,2,0,0.0,3.846
15.19,2,Olaf,2,2,100.0,3.846
15.19,516,Ornn,2,0,0.0,3.846
15.19,35,Shaco,2,1,50.0,3.846
15.19,102,Shyvana,2,2,100.0,3.846
15.19,134,Syndra,2,2,100.0,3.846
15.19,4,TwistedFate,2,0,0.0,3.846
15.19,254,Vi,2,0,0.0,3.846
15.19,101,Xerath,2,1,50.0,3.846
15.19,12,Alistar,1,1,100.0,1.923
15.19,34,Anivia,1,1,100.0,1.923
15.19,1,Annie,1,0,0.0,1.923
15.19,893,Aurora,1,0,0.0,1.923
15.19,268,Azir,1,0,0.0,1.923
15.19,201,Braum,1,1,100.0,1.923
15.19,42,Corki,1,0,0.0,1.923
15.19,9,FiddleSticks,1,1,100.0,1.923
15.19,114,Fiora,1,1,100.0,1.923
15.19,105,Fizz,1,0,0.0,1.923
15.19,41,Gangplank,1,1,100.0,1.923
15.19,150,Gnar,1,0,0.0,1.923
15.19,40,Janna,1,0,0.0,1.923
15.19,62,MonkeyKing,1,1,100.0,1.923
15.19,75,Nasus,1,0,0.0,1.923
15.19,895,Nilah,1,1,100.0,1.923
15.19,56,Nocturne,1,1,100.0,1.923
15.19,888,Renata,1,1,100.0,1.923
15.19,68,Rumble,1,0,0.0,1.923
15.19,113,Sejuani,1,0,0.0,1.923
15.19,27,Singed,1,1,100.0,1.923
15.19,37,Sona,1,1,100.0,1.923
15.19,91,Talon,1,1,100.0,1.923
15.19,18,Tristana,1,1,100.0,1.923
15.19,6,Urgot,1,1,100.0,1.923
15.19,711,Vex,1,0,0.0,1.923
15.19,112,Viktor,1,1,100.0,1.923
15.19,804,Yunara,1,0,0.0,1.923
15.19,350,Yuumi,1,1,100.0,1.923
15.19,115,Ziggs,1,1,100.0,1.923
