patch,championId,championName,win_rate,pick_rate,ban_rate,games,cluster,tier
15.19,222,Jinx,50.0,23.256,4.651,10,0,B
15.19,145,Kaisa,30.0,23.256,0.0,10,4,A
15.19,875,Sett,66.67,20.93,4.651,9,0,B
15.19,25,Morgana,25.0,18.605,30.233,8,0,B
15.19,143,Zyra,75.0,18.605,6.977,8,0,B
15.19,6,Urgot,57.14,16.279,4.651,7,0,B
15.19,32,Amumu,66.67,13.953,4.651,6,0,B
15.19,81,Ezreal,83.33,13.953,4.651,6,0,B
15.19,236,Lucian,50.0,13.953,6.977,6,0,B
15.19,267,Nami,50.0,13.953,0.0,6,4,A
15.19,134,Syndra,33.33,13.953,4.651,6,0,B
15.19,238,Zed,50.0,13.953,18.605,6,0,B
15.19,53,Blitzcrank,60.0,11.628,16.279,5,0,B
15.19,131,Diana,60.0,11.628,13.953,5,0,B
15.19,36,DrMundo,40.0,11.628,13.953,5,0,B
15.19,245,Ekko,60.0,11.628,0.0,5,4,A
15.19,202,Jhin,20.0,11.628,4.651,5,0,B
15.19,141,Kayn,60.0,11.628,6.977,5,0,B
15.19,121,Khazix,60.0,11.628,2.326,5,0,B
15.19,64,LeeSin,20.0,11.628,0.0,5,4,A
15.19,99,Lux,20.0,11.628,13.953,5,0,B
15.19,235,Senna,80.0,11.628,0.0,5,4,A
15.19,18,Tristana,60.0,11.628,2.326,5,0,B
15.19,106,Volibear,60.0,11.628,13.953,5,0,B
15.19,19,Warwick,40.0,11.628,13.953,5,0,B
15.19,22,Ashe,100.0,9.302,16.279,4,0,B
15.19,233,Briar,50.0,9.302,18.605,4,0,B
15.19,119,Draven,25.0,9.302,27.907,4,0,B
15.19,150,Gnar,75.0,9.302,0.0,4,4,A
15.19,59,JarvanIV,75.0,9.302,0.0,4,4,A
15.19,126,Jayce,75.0,9.302,0.0,4,4,A
15.19,43,Karma,25.0,9.302,6.977,4,0,B
15.19,38,Kassadin,75.0,9.302,4.651,4,0,B
15.19,10,Kayle,75.0,9.302,4.651,4,0,B
15.19,7,Leblanc,75.0,9.302,13.953,4,0,B
15.19,11,MasterYi,0.0,9.302,34.884,4,2,C
15.19,902,Milio,25.0,9.302,6.977,4,0,B
15.19,111,Nautilus,25.0,9.302,6.977,4,0,B
15.19,80,Pantheon,50.0,9.302,9.302,4,0,B
15.19,888,Renata,25.0,9.302,0.0,4,4,A
15.19,14,Sion,75.0,9.302,0.0,4,4,A
15.19,901,Smolder,75.0,9.302,9.302,4,0,B
15.19,234,Viego,25.0,9.302,16.279,4,0,B
15.19,115,Ziggs,50.0,9.302,0.0,4,4,A
15.19,103,Ahri,66.67,6.977,4.651,3,0,B
15.19,84,Akali,66.67,6.977,9.302,3,0,B
15.19,34,Anivia,100.0,6.977,0.0,3,4,A
15.19,893,Aurora,66.67,6.977,0.0,3,4,A
15.19,432,Bard,33.33,6.977,2.326,3,0,B
15.19,63,Brand,66.67,6.977,2.326,3,0,B
15.19,51,Caitlyn,66.67,6.977,20.93,3,0,B
15.19,42,Corki,66.67,6.977,0.0,3,4,A
15.19,122,Darius,33.33,6.977,4.651,3,0,B
15.19,60,Elise,33.33,6.977,6.977,3,0,B
15.19,114,Fiora,33.33,6.977,4.651,3,0,B
15.19,104,Graves,33.33,6.977,0.0,3,4,A
15.19,910,Hwei,66.67,6.977,0.0,3,4,A
15.19,420,Illaoi,33.33,6.977,9.302,3,0,B
15.19,39,Irelia,0.0,6.977,6.977,3,2,C
15.19,429,Kalista,33.33,6.977,0.0,3,4,A
15.19,55,Katarina,66.67,6.977,9.302,3,0,B
15.19,240,Kled,66.67,6.977,0.0,3,4,A
15.19,117,Lulu,0.0,6.977,13.953,3,2,C
15.19,90,Malzahar,0.0,6.977,13.953,3,2,C
15.19,800,Mel,33.33,6.977,23.256,3,0,B
15.19,62,MonkeyKing,0.0,6.977,2.326,3,2,C
15.19,555,Pyke,0.0,6.977,20.93,3,2,C
15.19,360,Samira,66.67,6.977,2.326,3,0,B
15.19,35,Shaco,100.0,6.977,27.907,3,0,B
15.19,98,Shen,66.67,6.977,2.326,3,0,B
15.19,16,Soraka,66.67,6.977,4.651,3,0,B
15.19,412,Thresh,66.67,6.977,4.651,3,0,B
15.19,23,Tryndamere,66.67,6.977,0.0,3,4,A
15.19,29,Twitch,33.33,6.977,13.953,3,0,B
15.19,67,Vayne,33.33,6.977,2.326,3,0,B
15.19,45,Veigar,66.67,6.977,0.0,3,4,A
15.19,161,Velkoz,66.67,6.977,6.977,3,0,B
15.19,8,Vladimir,33.33,6.977,6.977,3,0,B
15.19,157,Yasuo,33.33,6.977,20.93,3,0,B
15.19,777,Yone,66.67,6.977,4.651,3,0,B
15.19,266,Aatrox,0.0,4.651,4.651,2,2,C
15.19,28,Evelynn,100.0,4.651,0.0,2,4,A
15.19,24,Jax,0.0,4.651,37.209,2,2,C
15.19,30,Karthus,0.0,4.651,0.0,2,1,D
15.19,96,KogMaw,0.0,4.651,0.0,2,1,D
15.19,876,Lillia,0.0,4.651,2.326,2,2,C
15.19,57,Maokai,50.0,4.651,0.0,2,4,A
15.19,950,Naafiri,100.0,4.651,6.977,2,3,S
15.19,518,Neeko,50.0,4.651,0.0,2,4,A
15.19,56,Nocturne,50.0,4.651,2.326,2,0,B
15.19,20,Nunu,100.0,4.651,2.326,2,3,S
15.19,61,Orianna,0.0,4.651,0.0,2,1,D
15.19,497,Rakan,50.0,4.651,0.0,2,4,A
15.19,58,Renekton,0.0,4.651,13.953,2,2,C
15.19,107,Rengar,0.0,4.651,6.977,2,2,C
15.19,113,Sejuani,100.0,4.651,0.0,2,4,A
15.19,102,Shyvana,100.0,4.651,2.326,2,3,S
15.19,50,Swain,0.0,4.651,2.326,2,2,C
15.19,91,Talon,50.0,4.651,9.302,2,0,B
15.19,44,Taric,0.0,4.651,0.0,2,1,D
15.19,17,Teemo,100.0,4.651,13.953,2,3,S
15.19,48,Trundle,50.0,4.651,4.651,2,0,B
15.19,110,Varus,50.0,4.651,0.0,2,4,A
15.19,498,Xayah,50.0,4.651,0.0,2,4,A
15.19,101,Xerath,100.0,4.651,2.326,2,3,S
15.19,83,Yorick,0.0,4.651,9.302,2,2,C
15.19,804,Yunara,50.0,4.651,4.651,2,0,B
15.19,350,Yuumi,100.0,4.651,0.0,2,4,A
15.19,154,Zac,100.0,4.651,9.302,2,3,S
15.19,142,Zoe,0.0,4.651,4.651,2,2,C
15.19,166,Akshan,0.0,2.326,2.326,1,2,C
15.19,12,Alistar,0.0,2.326,0.0,1,1,D
15.19,799,Ambessa,100.0,2.326,6.977,1,3,S
15.19,1,Annie,100.0,2.326,0.0,1,3,S
15.19,523,Aphelios,100.0,2.326,4.651,1,3,S
15.19,136,AurelionSol,0.0,2.326,0.0,1,1,D
15.19,268,Azir,0.0,2.326,2.326,1,2,C
15.19,201,Braum,100.0,2.326,2.326,1,3,S
15.19,69,Cassiopeia,100.0,2.326,0.0,1,3,S
15.19,31,Chogath,100.0,2.326,2.326,1,3,S
15.19,9,FiddleSticks,100.0,2.326,6.977,1,3,S
15.19,105,Fizz,0.0,2.326,4.651,1,2,C
15.19,3,Galio,100.0,2.326,2.326,1,3,S
15.19,887,Gwen,0.0,2.326,4.651,1,2,C
15.19,120,Hecarim,100.0,2.326,2.326,1,3,S
15.19,85,Kennen,0.0,2.326,0.0,1,1,D
15.19,54,Malphite,0.0,2.326,11.628,1,2,C
15.19,75,Nasus,0.0,2.326,2.326,1,2,C
15.19,895,Nilah,0.0,2.326,2.326,1,2,C
15.19,2,Olaf,100.0,2.326,2.326,1,3,S
15.19,78,Poppy,100.0,2.326,4.651,1,3,S
15.19,246,Qiyana,100.0,2.326,6.977,1,3,S
15.19,526,Rell,100.0,2.326,0.0,1,3,S
15.19,92,Riven,100.0,2.326,0.0,1,3,S
15.19,37,Sona,0.0,2.326,0.0,1,1,D
15.19,517,Sylas,100.0,2.326,18.605,1,3,S
15.19,163,Taliyah,0.0,2.326,2.326,1,2,C
15.19,4,TwistedFate,100.0,2.326,0.0,1,3,S
15.19,77,Udyr,100.0,2.326,2.326,1,3,S
15.19,112,Viktor,0.0,2.326,2.326,1,2,C
15.19,5,XinZhao,100.0,2.326,4.651,1,3,S
15.19,221,Zeri,0.0,2.326,0.0,1,1,D
